id,source,medium,service,lifecycle,final_sale_value_raw,final_sale_value,quoted_value,created_at
478325384,Google Ads,Paid Ads,Paint Protection Film (PPF),Hot Lead,,0.0,7348.0,1782734267
478292679,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782729397
478275914,Meta Ads,Paid Ads,Tinting,,,0.0,0.0,1782726685
478274194,Google Ads,Paid Ads,Paint Protection Film (PPF),Hot Lead,,0.0,7999.0,1782726433
478238600,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782722452
478175910,Meta Ads,Paid Ads,Tinting,Quotation,,0.0,0.0,1782716311
478173062,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782715680
478154644,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782711864
477954458,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782672986
477865072,Google Ads,Paid Ads,Paint Protection Film (PPF),New Lead,,0.0,0.0,1782659549
477725776,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782647184
477702991,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782643365
477589833,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782630283
477569151,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782628774
477551476,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782624804
477547160,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782623799
477535388,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782620901
477420352,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782598410
477413550,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782597235
477319777,Meta Ads,Paid Ads,Tinting,Quotation,,0.0,0.0,1782581674
477172542,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782563788
477137437,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782559270
477087944,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782549826
477086939,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782549662
477077756,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782547626
477060815,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782543583
477053570,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782541826
477049196,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782540702
476993867,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782526827
476964004,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782520064
476944306,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782515605
476770873,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782502325
476755746,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782500922
476739554,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782498604
476730891,Meta Ads,Paid Ads,Tinting,Quotation,,0.0,0.0,1782497667
476596073,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782480395
476442142,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,499.0,1782459159
476018040,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782409744
475904974,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782403818
475765192,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782392123
475499935,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782368589
475325403,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782334356
475279245,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782328554
475267876,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782327362
475256503,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782325694
475241457,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782323617
475197211,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782318769
475166026,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782315524
475123851,Meta Ads,Paid Ads,Tinting,Quotation,,0.0,0.0,1782312869
474866752,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782300266
474850312,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782298585
474783603,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782291360
474768851,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782290028
474755393,Meta Ads,Paid Ads,Tinting,Quotation,,0.0,13000.0,1782288746
474750088,Google Ads,Paid Ads,Paint Protection Film (PPF),Lost,,0.0,14000.0,1782287762
474738859,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782285699
474705484,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782279886
474697182,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782277978
474677711,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782273692
474554498,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782249973
474548970,Meta Ads,Paid Ads,Tinting,Lost,,0.0,0.0,1782249096
474548623,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782249031
474506411,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782245398
474491314,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782243932
474327081,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782228328
474310056,Google Ads,Paid Ads,Paint Protection Film (PPF),New Lead,,0.0,0.0,1782226494
474242932,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782219949
474159033,Meta Ads,Paid Ads,Tinting,Quotation,,0.0,0.0,1782211424
474157595,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782211136
474110270,Google Ads,Paid Ads,Paint Protection Film (PPF),New Lead,,0.0,0.0,1782206390
473820198,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782160322
473742665,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782150931
473732121,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782149664
473713294,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782147414
473695972,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782145958
473629074,Meta Ads,Paid Ads,Tinting,New Lead,,0.0,0.0,1782142485
473462124,Meta Ads,Paid Ads,Express Wash,New Lead,,0.0,0.0,1782131984
473453355,Meta Ads,Paid Ads,Express Wash,Hot Lead,,0.0,0.0,1782130746
473445774,Google Ads,Paid Ads,Paint Protection Film (PPF),New Lead,,0.0,0.0,1782129593
